year_month,monthly_spend,cumulative_spend,monthly_value_added,cumulative_value
2024-04,0.0,0.0,858.68,858.68
2024-05,151.75,151.75,810.42,1669.1
2024-06,441.46000000000004,593.21,1017.48,2686.58
2024-07,693.82,1287.0300000000002,2627.9,5314.48
2024-08,569.59,1856.6200000000003,1889.98,7204.459999999999
2024-09,698.08,2554.7000000000003,1469.6399999999999,8674.099999999999
2024-10,318.43,2873.13,1166.32,9840.419999999998
2024-11,361.16999999999996,3234.3,568.42,10408.839999999998
2024-12,130.37,3364.67,213.04000000000002,10621.88
2025-01,451.7,3816.37,494.12,11116.0
2025-02,195.31,4011.68,387.68,11503.68
2025-03,0.0,4011.68,128.17,11631.85
2025-05,178.45000000000002,4190.13,227.17,11859.02
2025-06,0.0,4190.13,61.5,11920.52
2025-07,85.11,4275.24,90.67,12011.19
2025-08,33.29,4308.53,95.78999999999999,12106.980000000001
2025-09,0.0,4308.53,90.75,12197.730000000001
2025-10,34.24,4342.7699999999995,0.0,12197.730000000001
2025-11,0.0,4342.7699999999995,59.92,12257.650000000001
2026-03,0.0,4342.7699999999995,183.28,12440.930000000002
2026-04,146.99,4489.759999999999,125.51,12566.440000000002
2026-05,407.35,4897.11,1007.38,13573.820000000002
2026-06,33.4,4930.509999999999,144.73,13718.550000000001
